,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
7368,Dhofar 220,7004.0,Valid,H4,132.0,Found,2001.0,18.485,54.315,"(18.485000, 54.315000)"
7369,Dhofar 221,7005.0,Valid,L5,3536.0,Found,2000.0,18.25167,54.19833,"(18.251670, 54.198330)"
7370,Dhofar 222,7006.0,Valid,L5,5680.0,Found,2000.0,18.69333,54.37,"(18.693330, 54.370000)"
7371,Dhofar 223,7007.0,Valid,H4,1708.0,Found,2000.0,18.26667,54.09667,"(18.266670, 54.096670)"
7372,Dhofar 224,7008.0,Valid,H4,14974.0,Found,2001.0,19.15833,54.57333,"(19.158330, 54.573330)"
7373,Dhofar 225,7009.0,Valid,CM-an,90.0,Found,2001.0,18.36,54.18833,"(18.360000, 54.188330)"
7374,Dhofar 226,7010.0,Valid,H6,62.0,Found,2001.0,19.11167,54.82833,"(19.111670, 54.828330)"
7375,Dhofar 227,7011.0,Valid,L6,50.0,Found,2001.0,18.99,54.6,"(18.990000, 54.600000)"
7376,Dhofar 228,7012.0,Valid,L6,3452.0,Found,2001.0,19.15,54.58333,"(19.150000, 54.583330)"
7377,Dhofar 229,7013.0,Valid,H6,716.0,Found,2000.0,19.05667,54.575,"(19.056670, 54.575000)"
7378,Dhofar 230,7014.0,Valid,H4,144.0,Found,2001.0,18.99833,54.585,"(18.998330, 54.585000)"
7379,Dhofar 231,7015.0,Valid,H4,1780.0,Found,2001.0,18.79167,54.57667,"(18.791670, 54.576670)"
7380,Dhofar 232,7016.0,Valid,LL6,128.0,Found,2000.0,18.435,54.105,"(18.435000, 54.105000)"
7381,Dhofar 233,7017.0,Valid,L6,93.0,Found,2000.0,18.45,54.10333,"(18.450000, 54.103330)"
7382,Dhofar 234,7018.0,Valid,H6,98.0,Found,2000.0,19.07,54.45667,"(19.070000, 54.456670)"
7383,Dhofar 235,7019.0,Valid,LL5,394.0,Found,2000.0,19.005,54.55,"(19.005000, 54.550000)"
7384,Dhofar 236,7020.0,Valid,L4,320.0,Found,2000.0,19.02833,54.54833,"(19.028330, 54.548330)"
7385,Dhofar 237,7021.0,Valid,H5,206.0,Found,2000.0,19.17667,54.625,"(19.176670, 54.625000)"
7386,Dhofar 239,7022.0,Valid,H4,4950.0,Found,2000.0,18.4235,54.48,"(18.423500, 54.480000)"
7387,Dhofar 240,7023.0,Valid,L5,82.6,Found,2001.0,19.148,54.77783,"(19.148000, 54.777830)"
7388,Dhofar 241,7024.0,Valid,H5/6,451.8,Found,2001.0,18.65183,54.77383,"(18.651830, 54.773830)"
7389,Dhofar 242,7025.0,Valid,H5,58.4,Found,2001.0,18.62717,54.75083,"(18.627170, 54.750830)"
7390,Dhofar 243,7026.0,Valid,H6,185.3,Found,2001.0,18.62317,54.7285,"(18.623170, 54.728500)"
7391,Dhofar 244,7027.0,Valid,H5,178.3,Found,2001.0,18.6305,54.73283,"(18.630500, 54.732830)"
7392,Dhofar 245,7028.0,Valid,L6,1074.6,Found,2001.0,18.663,54.71183,"(18.663000, 54.711830)"
7393,Dhofar 246,7029.0,Valid,H5,50.0,Found,2001.0,18.66933,54.728,"(18.669330, 54.728000)"
7394,Dhofar 247,7030.0,Valid,H6,97.8,Found,2001.0,18.98567,54.60083,"(18.985670, 54.600830)"
7395,Dhofar 248,7031.0,Valid,LL6,38.3,Found,2001.0,18.98583,54.60067,"(18.985830, 54.600670)"
7396,Dhofar 249,7032.0,Valid,H6,36.6,Found,2001.0,18.98667,54.60217,"(18.986670, 54.602170)"
7397,Dhofar 250,7033.0,Valid,L6,585.7,Found,2001.0,19.1225,54.67333,"(19.122500, 54.673330)"
7398,Dhofar 251,7034.0,Valid,L6,12.7,Found,2001.0,19.3015,54.735,"(19.301500, 54.735000)"
7399,Dhofar 252,7035.0,Valid,H3,64.3,Found,2001.0,18.5985,54.03383,"(18.598500, 54.033830)"
7400,Dhofar 253,7036.0,Valid,H4/5,413.0,Found,2001.0,18.62467,54.09667,"(18.624670, 54.096670)"
7401,Dhofar 254,7037.0,Valid,L6,191.8,Found,2001.0,18.70317,54.28667,"(18.703170, 54.286670)"
7402,Dhofar 255,7038.0,Valid,H6,11.3,Found,2001.0,18.745,54.38517,"(18.745000, 54.385170)"
7403,Dhofar 256,7039.0,Valid,H6,1465.4,Found,2001.0,18.74583,54.38433,"(18.745830, 54.384330)"
7404,Dhofar 257,7040.0,Valid,H6,2520.1,Found,2001.0,18.74667,54.38333,"(18.746670, 54.383330)"
7405,Dhofar 258,7041.0,Valid,H5,110.2,Found,2001.0,18.70933,54.303,"(18.709330, 54.303000)"
7406,Dhofar 259,7042.0,Valid,L6,48.6,Found,2001.0,18.78683,54.25167,"(18.786830, 54.251670)"
7407,Dhofar 260,7043.0,Valid,L6,6574.4,Found,2001.0,18.7865,54.2505,"(18.786500, 54.250500)"
7408,Dhofar 261,7044.0,Valid,H4/5,787.5,Found,2001.0,19.15383,54.71933,"(19.153830, 54.719330)"
7409,Dhofar 262,7045.0,Valid,H6,291.8,Found,2001.0,18.27733,54.25533,"(18.277330, 54.255330)"
7410,Dhofar 263,7046.0,Valid,LL6,1698.1,Found,2001.0,18.34583,54.40067,"(18.345830, 54.400670)"
7411,Dhofar 264,7047.0,Valid,L6,474.4,Found,2001.0,18.347,54.4155,"(18.347000, 54.415500)"
