,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
825,Ryechki,22791.0,Valid,L5,13000.0,Observed,1914.0,51.13333,34.5,"(51.133330, 34.500000)"
826,Sabetmahet,22792.0,Valid,H5,1250.0,Observed,1855.0,27.43333,82.08333,"(27.433330, 82.083330)"
827,Sabrum,22793.0,Valid,LL6,478.0,Observed,1999.0,23.08333,91.66667,"(23.083330, 91.666670)"
828,Saint-Sauveur,23101.0,Valid,EH5,14000.0,Observed,1914.0,43.73333,1.38333,"(43.733330, 1.383330)"
829,Saint-Séverin,23102.0,Valid,LL6,271000.0,Observed,1966.0,45.3,0.23333,"(45.300000, 0.233330)"
830,Sakauchi,23103.0,Valid,Iron,4180.0,Observed,1913.0,35.66667,136.3,"(35.666670, 136.300000)"
831,Salem,23107.0,Valid,L6,61.4,Observed,1981.0,44.97917,-122.96944,"(44.979170, -122.969440)"
832,Salles,23111.0,Valid,L5,9000.0,Observed,1798.0,46.05,4.63333,"(46.050000, 4.633330)"
833,Salzwedel,23114.0,Valid,LL5,43.0,Observed,1985.0,52.75,11.05,"(52.750000, 11.050000)"
834,Samelia,23115.0,Valid,"Iron, IIIAB",2462.0,Observed,1921.0,25.66667,74.86667,"(25.666670, 74.866670)"
835,San Juan Capistrano,23128.0,Valid,H6,56.0,Observed,1973.0,33.48472,-117.6625,"(33.484720, -117.662500)"
836,San Michele,31315.0,Valid,L6,237.0,Observed,2002.0,43.66667,13.0,"(43.666670, 13.000000)"
837,San Pedro de Quiles,23130.0,Valid,L6,282.0,Observed,1956.0,-31.01667,-71.4,"(-31.016670, -71.400000)"
838,San Pedro Jacuaro,34063.0,Valid,LL6,460.0,Observed,1968.0,19.76667,-100.65,"(19.766670, -100.650000)"
839,Santa Barbara,23161.0,Valid,L4,400.0,Observed,1873.0,-29.2,-51.86667,"(-29.200000, -51.866670)"
840,Santa Cruz,23164.0,Valid,CM2,60.0,Observed,1939.0,24.16667,-99.33333,"(24.166670, -99.333330)"
841,Santa Isabel,23165.0,Valid,L6,5500.0,Observed,1924.0,-33.9,-61.7,"(-33.900000, -61.700000)"
842,Santa Lucia (2008),50909.0,Valid,L6,4000.0,Observed,2008.0,-31.535556,-68.489444,"(-31.535556, -68.489444)"
843,São Jose do Rio Preto,23171.0,Valid,H4,927.0,Observed,1962.0,-20.81,-49.38056,"(-20.810000, -49.380560)"
844,Saratov,23176.0,Valid,L4,200000.0,Observed,1918.0,52.55,46.55,"(52.550000, 46.550000)"
845,Sasagase,23187.0,Valid,H,695.0,Observed,1688.0,34.71667,137.78333,"(34.716670, 137.783330)"
846,Sauguis,23188.0,Valid,L6,4000.0,Observed,1868.0,43.15,-0.85,"(43.150000, -0.850000)"
847,Savtschenskoje,23190.0,Valid,LL4,2500.0,Observed,1894.0,47.21667,29.86667,"(47.216670, 29.866670)"
848,Sayama,23192.0,Valid,CM2,430.0,Observed,1986.0,35.86667,139.4,"(35.866670, 139.400000)"
849,Sazovice,23455.0,Valid,L5,412.0,Observed,1934.0,49.23333,17.56667,"(49.233330, 17.566670)"
850,Schellin,23457.0,Valid,L,7000.0,Observed,1715.0,53.35,15.05,"(53.350000, 15.050000)"
851,Schenectady,23458.0,Valid,H5,283.3,Observed,1968.0,42.86083,-73.95028,"(42.860830, -73.950280)"
852,Schönenberg,23460.0,Valid,L6,8000.0,Observed,1846.0,48.11667,10.46667,"(48.116670, 10.466670)"
853,Searsmont,23472.0,Valid,H5,5400.0,Observed,1871.0,44.36667,-69.2,"(44.366670, -69.200000)"
854,Sediköy,23473.0,Valid,L6,240.0,Observed,1917.0,38.3,27.13333,"(38.300000, 27.133330)"
855,Segowlie,23476.0,Valid,LL6,6930.0,Observed,1853.0,26.75,84.78333,"(26.750000, 84.783330)"
856,Selakopi,23481.0,Valid,H5,1590.0,Observed,1939.0,-7.23333,107.33333,"(-7.233330, 107.333330)"
857,Seldebourak,23483.0,Valid,H5,150.0,Observed,1947.0,22.83333,4.98333,"(22.833330, 4.983330)"
858,Semarkona,23487.0,Valid,LL3.00,691.0,Observed,1940.0,22.25,79.0,"(22.250000, 79.000000)"
859,Sena,23495.0,Valid,H4,4000.0,Observed,1773.0,41.71667,-0.05,"(41.716670, -0.050000)"
860,Senboku,23496.0,Valid,H6,866.0,Observed,1993.0,39.43833,140.51167,"(39.438330, 140.511670)"
861,Seoni,23500.0,Valid,H6,20000.0,Observed,1966.0,21.68389,79.50083,"(21.683890, 79.500830)"
862,Seres,23501.0,Valid,H4,8500.0,Observed,1818.0,41.05,23.56667,"(41.050000, 23.566670)"
863,Serra de Magé,23502.0,Valid,Eucrite-cm,1800.0,Observed,1923.0,-8.38333,-36.76667,"(-8.383330, -36.766670)"
864,Sete Lagoas,23504.0,Valid,H4,350.0,Observed,1908.0,-19.46667,-44.21667,"(-19.466670, -44.216670)"
865,Sevilla,23508.0,Valid,LL4,180.0,Observed,1862.0,37.41667,-6.0,"(37.416670, -6.000000)"
866,Sevrukovo,23509.0,Valid,L5,101000.0,Observed,1874.0,50.61667,36.6,"(50.616670, 36.600000)"
867,Sfax,23512.0,Valid,L6,7000.0,Observed,1989.0,34.75,10.71667,"(34.750000, 10.716670)"
868,Shalka,23521.0,Valid,Diogenite,4000.0,Observed,1850.0,23.1,87.3,"(23.100000, 87.300000)"
869,Sharps,23525.0,Valid,H3.4,1265.0,Observed,1921.0,37.83333,-76.7,"(37.833330, -76.700000)"
870,Shelburne,23529.0,Valid,L5,18600.0,Observed,1904.0,44.05,-80.16667,"(44.050000, -80.166670)"
871,Shergotty,23530.0,Valid,Martian (shergottite),5000.0,Observed,1865.0,24.55,84.83333,"(24.550000, 84.833330)"
872,Sheyang,23531.0,Valid,L6,605.0,Observed,1976.0,33.65,120.06667,"(33.650000, 120.066670)"
873,Shikarpur,23534.0,Valid,L6,3679.7,Observed,1921.0,25.85,87.5775,"(25.850000, 87.577500)"
874,Shuangyang,23582.0,Valid,H5,3900.0,Observed,1971.0,43.5,125.66667,"(43.500000, 125.666670)"
875,Shupiyan,23583.0,Valid,H6,5000.0,Observed,1912.0,33.71667,74.83333,"(33.716670, 74.833330)"
876,Shytal,23584.0,Valid,L6,3200.0,Observed,1863.0,24.33333,90.16667,"(24.333330, 90.166670)"
877,Siena,23586.0,Valid,LL5,3700.0,Observed,1794.0,43.11667,11.6,"(43.116670, 11.600000)"
878,Sikhote-Alin,23593.0,Valid,"Iron, IIAB",23000000.0,Observed,1947.0,46.16,134.65333,"(46.160000, 134.653330)"
879,Silao,23594.0,Valid,H5,1710.0,Observed,1995.0,20.93333,-101.38333,"(20.933330, -101.383330)"
880,Silistra,55584.0,Valid,Achondrite-ung,0.15,Observed,1917.0,44.11667,27.26667,"(44.116670, 27.266670)"
881,Simmern,23603.0,Valid,H5,1222.0,Observed,1920.0,49.98333,7.53333,"(49.983330, 7.533330)"
882,Sinai,23606.0,Valid,L6,1455.0,Observed,1916.0,30.9,32.48333,"(30.900000, 32.483330)"
883,Sindhri,23611.0,Valid,H5,8400.0,Observed,1901.0,26.21667,69.55,"(26.216670, 69.550000)"
884,Sinnai,23613.0,Valid,H6,2000.0,Observed,1956.0,39.3,9.2,"(39.300000, 9.200000)"
885,Sioux County,23614.0,Valid,Eucrite-mmict,4100.0,Observed,1933.0,42.58333,-103.66667,"(42.583330, -103.666670)"
886,Sitathali,23616.0,Valid,H5,1600.0,Observed,1875.0,20.91667,82.58333,"(20.916670, 82.583330)"
887,Sivas,23617.0,Valid,H6,40000.0,Observed,1989.0,39.82467,36.13583,"(39.824670, 36.135830)"
888,Sixiangkou,23619.0,Valid,L5,630.0,Observed,1989.0,32.43333,119.86667,"(32.433330, 119.866670)"
889,Ski,23621.0,Valid,L6,850.0,Observed,1848.0,59.73333,10.86667,"(59.733330, 10.866670)"
890,Slavetic,23626.0,Valid,H5,1708.0,Observed,1868.0,45.68333,15.6,"(45.683330, 15.600000)"
891,Slobodka,23645.0,Valid,L4,2750.0,Observed,1818.0,55.0,35.0,"(55.000000, 35.000000)"
892,Soheria,23660.0,Valid,OC,72.9,Observed,1960.0,27.13333,84.06667,"(27.133330, 84.066670)"
893,Soko-Banja,23661.0,Valid,LL4,80000.0,Observed,1877.0,43.66667,21.86667,"(43.666670, 21.866670)"
894,Sologne,23663.0,Valid,H5,54.0,Observed,1860.0,47.36667,1.73333,"(47.366670, 1.733330)"
895,Sołtmany,53829.0,Valid,L6,1066.0,Observed,2011.0,54.00883,22.005,"(54.008830, 22.005000)"
896,Sone,23667.0,Valid,H5,17100.0,Observed,1866.0,35.16667,135.33333,"(35.166670, 135.333330)"
897,Songyuan,23668.0,Valid,L6,36900.0,Observed,1993.0,45.25,125.0,"(45.250000, 125.000000)"
898,Sopot,23670.0,Valid,OC,958.0,Observed,1927.0,44.41667,23.5,"(44.416670, 23.500000)"
899,Soroti,23671.0,Valid,"Iron, ungrouped",2050.0,Observed,1945.0,1.7,33.63333,"(1.700000, 33.633330)"
900,St. Caprais-de-Quinsac,23081.0,Valid,L6,360.0,Observed,1883.0,44.75,0.05,"(44.750000, 0.050000)"
901,St. Christophe-la-Chartreuse,23082.0,Valid,L6,5500.0,Observed,1841.0,46.95,-1.5,"(46.950000, -1.500000)"
902,St. Denis Westrem,23083.0,Valid,L6,700.0,Observed,1855.0,51.05,3.75,"(51.050000, 3.750000)"
903,St. Germain-du-Pinel,23087.0,Valid,H6,4000.0,Observed,1890.0,48.01667,-1.15,"(48.016670, -1.150000)"
904,St. Louis,23089.0,Valid,H4,1000.0,Observed,1950.0,38.7,-90.23333,"(38.700000, -90.233330)"
905,St. Mark's,23090.0,Valid,EH5,13780.0,Observed,1903.0,-32.01667,27.41667,"(-32.016670, 27.416670)"
906,St. Mary's County,23091.0,Valid,LL3.3,24.3,Observed,1919.0,38.16667,-76.38333,"(38.166670, -76.383330)"
907,St. Mesmin,23092.0,Valid,LL6,8300.0,Observed,1866.0,48.45,3.93333,"(48.450000, 3.933330)"
908,St. Michel,23093.0,Valid,L6,17000.0,Observed,1910.0,61.65,27.2,"(61.650000, 27.200000)"
909,St.-Chinian,23097.0,Valid,L6,134.3,Observed,1959.0,43.43333,2.95,"(43.433330, 2.950000)"
910,Ställdalen,23712.0,Valid,H5,34000.0,Observed,1876.0,59.93333,14.95,"(59.933330, 14.950000)"
911,Stannern,23713.0,Valid,Eucrite-mmict,52000.0,Observed,1808.0,49.28333,15.56667,"(49.283330, 15.566670)"
912,Stavropol,23717.0,Valid,L6,1500.0,Observed,1857.0,45.05,41.98333,"(45.050000, 41.983330)"
913,Ste. Marguerite,23099.0,Valid,H4,4960.0,Observed,1962.0,50.76667,3.0,"(50.766670, 3.000000)"
914,Sterlitamak,23724.0,Valid,"Iron, IIIAB",325000.0,Observed,1990.0,53.66667,55.98333,"(53.666670, 55.983330)"
915,Stratford,23728.0,Valid,L6,50.0,Observed,1974.0,41.2,-73.13333,"(41.200000, -73.133330)"
916,Strathmore,23729.0,Valid,L6,13400.0,Observed,1917.0,56.58333,-3.25,"(56.583330, -3.250000)"
917,Stretchleigh,23732.0,Valid,Stone-uncl,10400.0,Observed,1623.0,50.38333,-3.95,"(50.383330, -3.950000)"
918,St-Robert,23733.0,Valid,H5,25400.0,Observed,1994.0,45.96861,-72.97806,"(45.968610, -72.978060)"
919,Success,23736.0,Valid,L6,3500.0,Observed,1924.0,36.48333,-90.66667,"(36.483330, -90.666670)"
920,Suchy Dul,23737.0,Valid,L6,815.3,Observed,1969.0,50.53806,16.26333,"(50.538060, 16.263330)"
921,Suizhou,23738.0,Valid,L6,260000.0,Observed,1986.0,31.61667,113.46667,"(31.616670, 113.466670)"
922,Sulagiri,48951.0,Valid,LL6,110000.0,Observed,2008.0,12.66667,78.03333,"(12.666670, 78.033330)"
923,Sultanpur,23741.0,Valid,L/LL6,1710.5,Observed,1916.0,25.93333,84.28333,"(25.933330, 84.283330)"
924,Sungach,23745.0,Valid,H5,637.0,Observed,1935.0,44.86667,133.16667,"(44.866670, 133.166670)"
925,Supuhee,23760.0,Valid,H6,7235.0,Observed,1865.0,26.71667,84.21667,"(26.716670, 84.216670)"
926,Sutter's Mill,55529.0,Valid,C,992.5,Observed,2012.0,38.80389,-120.90806,"(38.803890, -120.908060)"
927,Sylacauga,23773.0,Valid,H4,5560.0,Observed,1954.0,33.18836,-86.2945,"(33.188360, -86.294500)"
928,Tabor,23776.0,Valid,H5,7540.0,Observed,1753.0,49.4,14.65,"(49.400000, 14.650000)"
929,Tadjera,23778.0,Valid,L5,9000.0,Observed,1867.0,36.18333,5.41667,"(36.183330, 5.416670)"
